,Players_1,BattingOrder_1,inning_bat_1,Bat_Bowler_1,Bat_Dismissal_1,Bat_Runs_1,4s_1,6s_1,Ball Faced_1,Dots_1,BattingTeam_1,inning_bowl_1,Over_1,Runs_1,Wicket_1,Maiden_1,extra_1,fowRuns_1,wicketNumber_1,fowOver_1,Gender,Date,Season,Toss_winner,Toss_decision,Player_of_match,Winner,Winner_runs,Winner_wickets,Method,Outcome
0,PJ Moor,1,1.0,BB Sran,lbw,3.0,0.0,0.0,5.0,3.0,Zimbabwe,2.0,-,-,-,-,-,8.0,1.0,1.7,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
1,CJ Chibhabha,2,1.0,JJ Bumrah,bowled,13.0,0.0,0.0,41.0,38.0,Zimbabwe,2.0,8.0,13.0,0.0,1.0,2.0,47.0,3.0,13.1,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
2,H Masakadza,3,1.0,DS Kulkarni,caught,14.0,2.0,0.0,21.0,15.0,Zimbabwe,2.0,2.3,19.0,0.0,0.0,0.0,30.0,2.0,8.4,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
3,CR Ervine,4,1.0,AR Patel,caught,21.0,1.0,0.0,42.0,33.0,Zimbabwe,2.0,-,-,-,-,-,77.0,5.0,23.7,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
4,V Sibanda,5,1.0,JJ Bumrah,caught,5.0,0.0,0.0,20.0,16.0,Zimbabwe,2.0,-,-,-,-,-,69.0,4.0,19.2,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
5,Sikandar Raza,6,1.0,BB Sran,bowled,23.0,2.0,0.0,54.0,38.0,Zimbabwe,2.0,5.0,20.0,0.0,0.0,0.0,115.0,6.0,37.3,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
6,E Chigumbura,7,1.0,JJ Bumrah,bowled,41.0,1.0,0.0,64.0,33.0,Zimbabwe,2.0,4.0,32.0,0.0,0.0,2.0,167.0,9.0,49.3,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
7,R Mutumbami,8,1.0,YS Chahal,caught,15.0,2.0,0.0,27.0,19.0,Zimbabwe,2.0,-,-,-,-,-,140.0,7.0,43.3,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
8,AG Cremer,9,1.0,DS Kulkarni,bowled,8.0,1.0,0.0,11.0,6.0,Zimbabwe,2.0,10.0,47.0,0.0,0.0,0.0,156.0,8.0,46.5,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
9,TL Chatara,10,1.0,JJ Bumrah,caught,4.0,0.0,0.0,10.0,6.0,Zimbabwe,2.0,7.0,20.0,1.0,1.0,0.0,168.0,10.0,49.5,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
10,T Muzarabani,11,1.0,-,not out,1.0,0.0,0.0,1.0,0.0,Zimbabwe,2.0,6.0,18.0,0.0,0.0,0.0,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
11,KL Rahul,1,2.0,-,not out,100.0,7.0,1.0,115.0,52.0,India,1.0,-,-,-,-,-,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
12,KK Nair,2,2.0,TL Chatara,caught,7.0,1.0,0.0,20.0,17.0,India,1.0,-,-,-,-,-,11.0,1.0,4.3,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
13,AT Rayudu,3,2.0,-,not out,62.0,5.0,0.0,119.0,78.0,India,1.0,-,-,-,-,-,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
14,DS Kulkarni,DNB,2.0,-,DNB,-,-,-,-,-,India,1.0,10.0,41.0,2.0,1.0,1.0,-,-,-,male,2016/06/11,2016,India,field,KL Rahul,India,,9.0,,
